DOOR STYLE,MATERIAL,DESIGN,GLASS STYLE,"2'0"" X 6'8""","2'4"" X 6'8""","2'6"" X 6'8""","2'8"" X 6'8""","2'10"" X 6'8""","3'0"" X 6'8""","3'6"" X 6'8""",,"4'8"" X 6'8""","5'0"" X 6'8""","5'4"" X 6'8""","5'8"" X 6'8""","6'0"" X 6'8""",,"2'0"" X 8'0""","2'4"" X 8'0""","2'6"" X 8'0""","2'8"" X 8'0""","2'10"" X 8'0""","3'0"" X 8'0""","3'6"" X 8'0""",,"4'8"" X 8'0""","5'0"" X 8'0""","5'4"" X 8'0""","5'8"" X 8'0""","6'0"" X 8'0"""
CCA8240,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8260,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8210XC,FIBERGLASS,DOUGLAS FIR,CHORD,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8210XJ,FIBERGLASS,DOUGLAS FIR,CHINCHILLA,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8210XR,FIBERGLASS,DOUGLAS FIR,RAINGLASS,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8210XN,FIBERGLASS,DOUGLAS FIR,GRANITE,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8220XJ,FIBERGLASS,DOUGLAS FIR,CHINCHILLA,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8220XC,FIBERGLASS,DOUGLAS FIR,CHORD,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8220XR,FIBERGLASS,DOUGLAS FIR,RAINGLASS,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8220XN,FIBERGLASS,DOUGLAS FIR,GRANITE,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8230XR,FIBERGLASS,DOUGLAS FIR,RAINGLASS,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8230XC,FIBERGLASS,DOUGLAS FIR,CHORD,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8230XJ,FIBERGLASS,DOUGLAS FIR,CHINCHILLA,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8230XN,FIBERGLASS,DOUGLAS FIR,GRANITE,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8240XN,FIBERGLASS,DOUGLAS FIR,GRANITE,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8240XC,FIBERGLASS,DOUGLAS FIR,CHORD,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8240XJ,FIBERGLASS,DOUGLAS FIR,CHINCHILLA,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8240XR,FIBERGLASS,DOUGLAS FIR,RAINGLASS,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8260XC,FIBERGLASS,DOUGLAS FIR,CHORD,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8260XJ,FIBERGLASS,DOUGLAS FIR,CHINCHILLA,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8260XR,FIBERGLASS,DOUGLAS FIR,RAINGLASS,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8260XN,FIBERGLASS,DOUGLAS FIR,GRANITE,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
