style,,,,,,,,,,,,,,,,,,,,,,,,
* you can add as many size headings as desired.,,,,,,,,,,,,,,,,,,,,,,,,
* add as many rows of doors as exist.,,,,,,,,,,,,,,,,,,,,,,,,
"* size headings are to be entered in the format W'W"" X H'H"" ex. 3'0"" X 6'0""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
sizes,"2'0"" X 6'8""","2'4"" X 6'8""","2'6"" X 6'8""","2'8"" X 6'8""","2'10"" X 6'8""","3'0"" X 6'8""","3'6"" X 6'8""","4'8"" X 6'8""","5'0"" X 6'8""","5'4"" X 6'8""","5'8"" X 6'8""","6'0"" X 6'8""","2'0"" X 8'0""","2'4"" X 8'0""","2'6"" X 8'0""","2'8"" X 8'0""","2'10"" X 8'0""","3'0"" X 8'0""","3'6"" X 8'0""","4'8"" X 8'0""","5'0"" X 8'0""","5'4"" X 8'0""","5'8"" X 8'0""","6'0"" X 8'0"""
CCA8210XN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8220XJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8220XC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8220XR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8220XN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8230XR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8230XC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8230XJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8230XN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8240XN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8240XC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8240XJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8240XR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8260XC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8260XJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8260XR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCA8260XN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CCM109,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCM209,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCM309,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCM409,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCM509,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCM609,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
